Descrip,CaseID,Agency,Date,Location,City,State,latitude,longitude,LatLong
LARCENY-OTHER,20140603-1617-01,Charlotte-Mecklenburg Police,6/3/2014 16:17,900 BLOCK YUMA ST,Charlotte,North Carolina,35.270928,-80.792818,35.270928:-80.792818
LARCENY-OTHER,20140603-1614-06,Charlotte-Mecklenburg Police,6/3/2014 16:14,2000 BLOCK LONGLEAF DR,Charlotte,North Carolina,35.111709,-80.873331,35.111709:-80.873331
LARCENY-OTHER,20140603-1608-01,Charlotte-Mecklenburg Police,6/3/2014 16:08,2100 BLOCK ROZZELLES FERRY RD,Charlotte,North Carolina,35.243818,-80.862242,35.243818:-80.862242
RESIDENTIAL BURGLARY,20140603-1559-01,Charlotte-Mecklenburg Police,6/3/2014 15:59,14600 BLOCK VILLALONGA LN,Charlotte,North Carolina,35.04945,-80.865608,35.04945:-80.865608
SUSPICIOUS PERSON,O0603155802,Charlotte-Mecklenburg Police,6/3/2014 15:58,TWIFORD PL & COLVILLE RD,Charlotte,North Carolina,35.190203,-80.819074,35.190203:-80.819074
RESIDENTIAL BURGLARY,20140603-1554-01,Charlotte-Mecklenburg Police,6/3/2014 15:54,9800 BLOCK BELLA MARCHE DR,Charlotte,North Carolina,35.201182,-80.688384,35.201182:-80.688384
NON-AGGRAVATED ASSAULT,20140603-1551-05,Charlotte-Mecklenburg Police,6/3/2014 15:51,2500 BLOCK FREEDOM DR,Charlotte,North Carolina,35.236021,-80.880557,35.236021:-80.880557
RESIDENTIAL BURGLARY,20140603-1544-01,Charlotte-Mecklenburg Police,6/3/2014 15:44,8500 BLOCK LODGE SOUTH CR,Charlotte,North Carolina,35.138962,-80.885043,35.138962:-80.885043
LARCENY-OTHER,20140603-1541-01,Charlotte-Mecklenburg Police,6/3/2014 15:41,7900 BLOCK SIR BARTON CT,Charlotte,North Carolina,35.238196,-80.711268,35.238196:-80.711268
RESIDENTIAL BURGLARY,20140603-1540-00,Charlotte-Mecklenburg Police,6/3/2014 15:40,3200 BLOCK IRWIN VALLEY CT,Charlotte,North Carolina,35.292152,-80.814505,35.292152:-80.814505
AGGRAVATED ASSAULT-OTHER WEAPON,20140603-1535-02,Charlotte-Mecklenburg Police,6/3/2014 15:35,7000 BLOCK NATIONS FORD RD,Charlotte,North Carolina,35.156162,-80.897088,35.156162:-80.897088
NON-AGGRAVATED ASSAULT,20140603-1527-04,Charlotte-Mecklenburg Police,6/3/2014 15:27,4900 BLOCK CENTRAL AV,Charlotte,North Carolina,35.211405,-80.761207,35.211405:-80.761207
RESIDENTIAL BURGLARY,20140603-1520-04,Charlotte-Mecklenburg Police,6/3/2014 15:20,1800 BLOCK FOLLY GATE CT,Charlotte,North Carolina,35.317007,-80.697806,35.317007:-80.697806
RESIDENTIAL BURGLARY,20140603-1515-01,Charlotte-Mecklenburg Police,6/3/2014 15:15,500 BLOCK NORRIS AV,Charlotte,North Carolina,35.252477,-80.819802,35.252477:-80.819802
FRAUD,20140603-1515-00,Charlotte-Mecklenburg Police,6/3/2014 15:15,6200 BLOCK GANSO LN,Charlotte,North Carolina,35.270999,-80.930643,35.270999:-80.930643
